"","ListingKey","ListingNumber","ListingCreationDate","CreditGrade","Term","LoanStatus","ClosedDate","BorrowerAPR","BorrowerRate","LenderYield","EstimatedEffectiveYield","EstimatedLoss","EstimatedReturn","ProsperRating..numeric.","ProsperRating..Alpha.","ProsperScore","ListingCategory..numeric.","BorrowerState","Occupation","EmploymentStatus","EmploymentStatusDuration","IsBorrowerHomeowner","CurrentlyInGroup","GroupKey","DateCreditPulled","CreditScoreRangeLower","CreditScoreRangeUpper","FirstRecordedCreditLine","CurrentCreditLines","OpenCreditLines","TotalCreditLinespast7years","OpenRevolvingAccounts","OpenRevolvingMonthlyPayment","InquiriesLast6Months","TotalInquiries","CurrentDelinquencies","AmountDelinquent","DelinquenciesLast7Years","PublicRecordsLast10Years","PublicRecordsLast12Months","RevolvingCreditBalance","BankcardUtilization","AvailableBankcardCredit","TotalTrades","TradesNeverDelinquent..percentage.","TradesOpenedLast6Months","DebtToIncomeRatio","IncomeRange","IncomeVerifiable","StatedMonthlyIncome","LoanKey","TotalProsperLoans","TotalProsperPaymentsBilled","OnTimeProsperPayments","ProsperPaymentsLessThanOneMonthLate","ProsperPaymentsOneMonthPlusLate","ProsperPrincipalBorrowed","ProsperPrincipalOutstanding","ScorexChangeAtTimeOfListing","LoanCurrentDaysDelinquent","LoanFirstDefaultedCycleNumber","LoanMonthsSinceOrigination","LoanNumber","LoanOriginalAmount","LoanOriginationDate","LoanOriginationQuarter","MemberKey","MonthlyLoanPayment","LP_CustomerPayments","LP_CustomerPrincipalPayments","LP_InterestandFees","LP_ServiceFees","LP_CollectionFees","LP_GrossPrincipalLoss","LP_NetPrincipalLoss","LP_NonPrincipalRecoverypayments","PercentFunded","Recommendations","InvestmentFromFriendsCount","InvestmentFromFriendsAmount","Investors"
"74243","40C436002689767512D3F13",1146068,"2014-01-18 09:53:37.603000000","",60,"Current","",0.15425,0.1314,0.1214,0.11567,0.0449,0.07077,5,"B",10,2,"CA","Professional","Employed",99,"False","False","","2014-01-18 09:53:39",780,799,"1995-10-01 00:00:00",4,3,17,4,35,1,2,0,0,0,0,0,589,0.01,29411,17,1,0,0.07,"$100,000+","True",12500,"A43037037311134710794CA",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,128826,35000,"2014-01-29 00:00:00","Q1 2014","1E6F37035512978842D49CD",798.87,798.87,420.87,378,-28.77,0,0,0,0,1,0,0,0,278
"29104","301C3596886197591BE99CB",1046659,"2013-12-11 12:08:22.093000000","",36,"Current","",0.23847,0.201,0.191,0.1762,0.0925,0.0837,3,"D",4,7,"TN","Truck Driver","Employed",27,"False","False","","2013-12-11 12:08:24",640,659,"1999-07-30 00:00:00",6,5,19,3,202,0,0,0,0,0,1,0,7887,0.84,1346,19,1,2,0.18,"$25,000-49,999","True",3833.333333,"4ED83701572182511268517",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3,123613,3000,"2013-12-24 00:00:00","Q4 2013","EA71369800675069440F3B8",111.64,221.6279,121.89,99.7379,-5.05,0,0,0,0,1,0,0,0,1
"95128","2AB535379839672976C4E56",554623,"2012-01-26 21:49:07.470000000","",36,"Current","",0.35797,0.3177,0.3077,0.2896,0.165,0.1246,1,"HR",5,1,"MA","Other","Other",344,"False","False","","2012-01-26 21:49:03",700,719,"1995-04-01 00:00:00",5,2,10,2,0,0,0,0,0,7,0,0,28,0,15672,10,0.7,0,1.03,"$1-24,999","True",85.166667,"C262364083461204795F7B3",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,26,59656,2000,"2012-01-31 00:00:00","Q1 2012","30263537751392305BCDB55",86.85,2171.25,1224.97,946.28,-29.79,0,0,0,0,1,0,0,0,1
"72255","411E353501617034479275D",546154,"2011-12-21 18:03:50.680000000","",60,"Completed","2014-02-28 00:00:00",0.23477,0.2151,0.2051,0.2015,0.0595,0.142,5,"B",8,1,"CA","Accountant/CPA","Employed",6,"False","False","","2011-12-06 07:40:48",700,719,"2002-10-02 00:00:00",6,6,20,6,574,0,2,0,0,0,0,0,18750,0.67,8610,8,0.75,0,0.21,"$25,000-49,999","True",4000,"8BFD3639823215694AD5D30",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,27,58200,10000,"2011-12-29 00:00:00","Q4 2011","D69735324739115332283E7",273.41,12855.37,10000,2855.37,-132.74,0,0,0,0,1,0,0,0,2
"22363","504E359319607883545ABE3",1017747,"2013-11-05 07:24:19.803000000","",36,"Current","",0.33215,0.2925,0.2825,0.25691,0.1475,0.10941,2,"E",2,1,"WA","Food Service","Employed",79,"False","False","","2013-11-05 07:24:22",640,659,"2000-03-13 00:00:00",5,4,33,4,237,0,2,1,1312,15,1,0,6476,0.99,96,27,0.85,1,0.1,"$50,000-74,999","True",4166.666667,"9ACF369715487089288E60D",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,4,110323,4000,"2013-11-07 00:00:00","Q4 2013","8C403697803672070FF0C4E",168.17,501.3045,214.94,286.3645,-9.91,0,0,0,0,1,0,0,0,1
"16020","58373600106743123DC2179",1143197,"2014-01-17 12:16:20.617000000","",60,"Current","",0.15425,0.1314,0.1214,0.11567,0.0449,0.07077,5,"B",9,1,"VA","Sales - Commission","Employed",92,"True","False","","2014-01-17 12:16:23",700,719,"1994-06-14 00:00:00",16,13,58,13,1775,0,10,0,0,0,0,0,288847,0.92,23823,53,1,2,0.09,"$100,000+","True",33333.333333,"C9FE37037285806918551A0",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,127599,25000,"2014-01-22 00:00:00","Q1 2014","1550370346535750105FC1F",570.62,561.62,291.62,270,-21.23,0,0,0,0,1,0,0,0,1
"52402","BE7A35941890498579F63AD",1019937,"2013-11-05 14:03:55.543000000","",36,"Completed","2014-01-14 00:00:00",0.24614,0.2085,0.1985,0.18316,0.0925,0.09066,3,"D",4,1,"AK","Professional","Employed",98,"True","False","","2013-11-05 14:03:58",640,659,"1993-03-08 00:00:00",7,7,58,6,415,3,7,10,0,3,1,0,11288,0.96,353,38,0.86,2,0.11,"$75,000-99,999","True",7083.333333,"930E3697551543626FEF3BB",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,4,109550,9000,"2013-11-07 00:00:00","Q4 2013","D9B736970692117511155D4",338.38,9323.8789,9000,323.8789,-15.78,0,0,0,0,1,0,0,0,1
"88679","AC9D3579618274919296268",787017,"2013-05-22 13:44:37.453000000","",36,"Current","",0.33286,0.2932,0.2832,0.2575,0.1425,0.115,2,"E",2,1,"VA","Other","Other",0,"True","False","","2013-05-22 14:31:20",680,699,"1998-05-05 00:00:00",19,18,37,16,890,1,3,0,0,0,0,0,26669,0.86,3147,37,0.97,0,0.53,"$25,000-49,999","True",2666.666667,"652536847141595314904D6",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,9,91491,3000,"2013-06-03 00:00:00","Q2 2013","98223580077043622EEAEE8",126.24,1136.16,526.77,609.39,-20.78,0,0,0,0,1,0,0,0,49
"64130","C1BA3546917166268463B27",585105,"2012-05-03 00:08:12.287000000","",36,"Past Due (61-90 days)","",0.28851,0.2499,0.2399,0.234,0.119,0.115,3,"D",6,1,"NJ","Other","Not employed",5,"False","False","","2012-05-03 00:08:07",680,699,"2003-04-15 00:00:00",4,4,7,4,27,0,1,0,0,0,0,0,110,0.36,190,7,0.71,0,NA,"Not employed","False",0,"287336507238755611D1A87",NA,NA,NA,NA,NA,NA,NA,NA,85,NA,22,65623,15000,"2012-05-15 00:00:00","Q2 2012","711C3546169548104E1915B",596.32,10841.72,5523.73,5317.99,-200.89,-811.59,0,0,0,1,0,0,0,242
"85633","962535506064559120F232F",604660,"2012-06-26 17:34:04.207000000","",36,"Past Due (1-15 days)","",0.24758,0.2099,0.1999,0.1952,0.089,0.1062,4,"C",7,14,"FL","Other","Other",43,"False","False","","2012-06-26 17:33:58",760,779,"1983-10-01 00:00:00",5,4,37,4,261,0,0,0,0,19,1,0,8224,0.55,6521,36,0.66,0,0.27,"$25,000-49,999","True",2375,"2D513654888439413986677",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,20,69418,10000,"2012-07-09 00:00:00","Q3 2012","5AD035508931239342D0546",376.7,7675.3,5047.96,2627.34,-125.17,0,0,0,0,1,0,0,0,136
"36905","390234196942846479B25D7",324645,"2008-05-02 22:07:19.867000000","C",36,"Completed","2011-05-13 00:00:00",0.37453,0.35,0.34,NA,NA,NA,NA,"",NA,4,"MO","Skilled Labor","Full-time",48,"False","False","","2008-05-02 20:30:20.347000000",640,659,"1998-12-15 00:00:00",6,6,6,5,378,3,4,0,0,0,1,0,10668,1.03,37,6,0.66,0,0.63,"$1-24,999","True",1666.666667,"CD3B34209857481356B84C3",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,70,30999,6000,"2008-05-13 00:00:00","Q2 2008","1F4C342071787890961AF68",257.9,9784.64,6000.01,3784.63,-108.12,0,0,0,0,1,0,0,0,61
"7855","56173583451270718C16FCE",825138,"2013-07-01 12:02:07.593000000","",36,"Current","",0.32538,0.2859,0.2759,0.2512,0.1375,0.1137,2,"E",2,1,"FL","Realtor","Self-employed",88,"False","False","","2013-07-01 12:01:50",660,679,"1965-02-01 00:00:00",5,5,47,4,220,0,0,0,0,1,1,0,12247,0.92,1053,43,0.65,0,NA,"$75,000-99,999","False",6666.666667,"39C03685962056518934E8C",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8,94446,4000,"2013-07-05 00:00:00","Q3 2013","3AD83564685968537C4A101",166.73,1167.11,530.55,636.56,-22.27,0,0,0,0,1,0,0,0,14
"91088","AC9C35986265100314707EC",1095524,"2013-12-25 18:23:27.113000000","",36,"Current","",0.1899,0.1535,0.1435,0.13507,0.0599,0.07517,5,"B",6,1,"CA","Clerical","Employed",323,"False","False","","2013-12-10 18:28:43",640,659,"1985-11-30 00:00:00",5,5,39,5,187,1,4,0,0,2,1,0,6927,0.47,7673,38,0.81,0,0.12,"$25,000-49,999","True",3416.666667,"7C7C3701279638402B62490",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,124921,6250,"2014-01-03 00:00:00","Q1 2014","BD6A370013054346686B756",217.73,432.8316,281.99,150.8416,-10,0,0,0,0,1,0,0,0,1
"85037","428934736356639011906A9",440727,"2010-01-02 15:05:52.393000000","",36,"Completed","2013-01-15 00:00:00",0.08792,0.0845,0.0745,0.0595,0.015,0.0595,7,"AA",9,7,"NJ","Computer Programmer","Full-time",112,"True","False","","2010-01-02 06:14:23",860,879,"1972-09-01 00:00:00",20,14,45,15,176,0,5,0,0,0,0,0,8052,0.14,48068,44,1,0,0.35,"$75,000-99,999","True",6708.333333,"FCBB3578354204553D2FB79",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,50,40422,8000,"2010-01-15 00:00:00","Q1 2010","4D44347325031118370A70C",252.35,9079.96,8000,1079.96,-127.83,0,0,0,0,1,0,0,0,250
"46914","9D1834194365998622ED369",322125,"2008-04-30 11:35:11.927000000","C",36,"Defaulted","2009-09-14 00:00:00",0.37453,0.35,0.34,NA,NA,NA,NA,"",NA,3,"MI","Retail Management","Full-time",77,"True","False","","2008-04-30 11:28:27.983000000",660,679,"1984-05-01 00:00:00",7,7,17,6,2164,0,4,1,206,0,0,0,141999,0.96,5848,13,0.92,0,0.5,"$50,000-74,999","True",4500,"1A063420969332393C4C7EF",NA,NA,NA,NA,NA,NA,NA,NA,656,16,70,30978,9500,"2008-05-13 00:00:00","Q2 2008","F8D83406057169969211713",429.74,4727.14,1939.12,2788.02,-79.66,0,7560.88,7560.88,0,1,0,0,0,110
"77598","1AB13558662613051A9F788",639535,"2012-09-13 14:22:29.943000000","",36,"Current","",0.33665,0.2969,0.2869,0.2738,0.1475,0.1263,2,"E",5,7,"CA","Administrative Assistant","Employed",2,"False","False","","2012-09-13 14:22:27",760,779,"1999-10-27 00:00:00",1,1,12,1,270,3,5,0,0,0,0,0,2273,0.18,9727,11,0.72,0,2.57,"$1-24,999","True",208.333333,"5DF63661301895703B8A869",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,18,74458,4000,"2012-09-17 00:00:00","Q3 2012","64333558095285679F8EB3D",169.13,2875.21,1459.79,1415.42,-47.66,0,0,0,0,1,0,0,0,16
"25724","13A734969725326680DE87C",480946,"2010-10-21 10:09:59.287000000","",36,"Completed","2013-11-15 00:00:00",0.31053,0.275,0.265,0.1504,0.108,0.1504,3,"D",6,7,"KS","Other","Full-time",67,"True","False","","2010-10-13 11:27:15",700,719,"1994-05-03 00:00:00",4,4,20,3,50,0,0,9,536,0,1,0,1372,0.88,93,15,0.73,0,0.2,"$25,000-49,999","True",2333.333333,"019B3604063643354894205",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,40,45292,2500,"2010-11-15 00:00:00","Q4 2010","836333927648472509933F0",0,3697.98,2500,1197.98,-43.57,0,0,0,0,1,0,0,0,71
"75828","45BB35988818727407EF04A",1102024,"2014-01-12 12:57:17.520000000","",36,"Current","",0.19859,0.162,0.152,0.14256,0.0649,0.07766,4,"C",7,1,"NV","Executive","Employed",128,"False","False","","2014-01-12 12:57:19",640,659,"2002-06-06 00:00:00",17,16,34,16,778,0,0,0,0,0,0,0,18829,0.95,867,31,1,0,0.17,"$75,000-99,999","True",6666.666667,"E74C3704296793929A93860",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,128434,5000,"2014-01-23 00:00:00","Q1 2014","306A37029986120396AB73D",176.28,174.0608,107.49,66.5708,-4.25,0,0,0,0,1,0,0,0,1
"105235","11573575686612448AA8A32",749816,"2013-04-11 12:09:21.707000000","",36,"Current","",0.15324,0.1249,0.1149,0.1102,0.0374,0.0728,6,"A",9,1,"CA","Police Officer/Correction Officer","Employed",65,"False","False","","2013-04-11 12:09:19",700,719,"1975-11-13 00:00:00",7,7,34,5,252,0,2,0,0,47,1,0,7687,0.71,3050,31,0.67,1,0.16,"$100,000+","True",10166.666667,"7E403680602597781C2AE62",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,11,89126,15000,"2013-04-26 00:00:00","Q2 2013","2D6A35756689795654310D2",501.73,5017.3,3614.38,1402.92,-112.32,0,0,0,0,1,0,0,0,136
"84079","43503534484741248AEF996",547380,"2011-12-28 18:01:07.243000000","",36,"Completed","2013-04-22 00:00:00",0.14358,0.1154,0.1054,0.1051,0.038,0.0671,6,"A",9,1,"GA","Executive","Employed",159,"True","False","","2011-12-28 18:01:04",740,759,"1990-04-01 00:00:00",5,5,19,2,550,1,2,0,0,1,0,0,37825,0.58,27175,18,0.83,0,0.17,"$100,000+","True",9666.666667,"76D83638494736236396E39",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,27,58320,25000,"2011-12-30 00:00:00","Q4 2011","4C823392729163825269175",824.88,28104.34,25000,3104.34,-268.99,0,0,0,0,1,0,0,0,5
"66405","EA3734812032850430FA54C",455235,"2010-04-22 08:46:37.757000000","",36,"Completed","2011-11-15 00:00:00",0.07339,0.07,0.06,0.054,0.006,0.054,7,"AA",10,3,"FL","Executive","Full-time",32,"True","False","","2010-04-22 08:45:59",800,819,"1998-06-18 00:00:00",10,10,22,8,276,0,13,0,0,0,0,0,10671,0.22,16742,20,1,0,0.13,"$75,000-99,999","True",6250,"92983586052742159CAB4EA",1,32,32,0,0,1000,0,15,0,NA,47,42053,2500,"2010-04-30 00:00:00","Q2 2010","9F643382668079845AD7B53",77.19,2709.09,2499.99,209.1,-29.87,0,0,0,0,1,1,0,0,138
"110912","7FFC3589394855605829EFE",929141,"2013-09-24 17:51:16.540000000","",36,"Current","",0.1709,0.1349,0.1249,0.11929,0.0424,0.07689,5,"B",8,1,"CA","Tradesman - Mechanic","Employed",156,"False","False","","2013-09-24 17:51:19",660,679,"1978-06-24 00:00:00",10,9,36,9,181,0,3,3,66422,6,0,0,3447,0.68,1260,32,0.81,1,0.24,"$50,000-74,999","True",4416.666667,"51753695794246073564AB4",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5,106980,10000,"2013-10-24 00:00:00","Q4 2013","9D2E36939396033459EC220",339.3,1353.5041,918.18,435.3241,-32.54,0,0,0,0,1,0,0,0,1
"44756","A20C3422234148596749113",338322,"2008-05-24 04:52:25.367000000","B",36,"Defaulted","2008-12-04 00:00:00",0.17939,0.1649,0.1549,NA,NA,NA,NA,"",NA,1,"DE","Medical Technician","Full-time",2,"False","False","","2008-05-15 18:34:03.467000000",700,719,"1999-05-10 00:00:00",3,3,3,3,92,3,6,0,0,0,0,0,1986,0,18457,3,1,1,0.14,"$25,000-49,999","True",3833.333333,"0E4D3421530703881567CB1",NA,NA,NA,NA,NA,NA,NA,NA,500,6,69,32171,12500,"2008-06-03 00:00:00","Q2 2008","79F33421676885787FF5CAD",442.49,442.49,273.07,169.42,-10.27,0,12226.93,12226.93,0,1,0,0,0,458
"84621","E6C43401910957615B09BF1",207710,"2007-09-27 10:55:28.743000000","C",36,"Chargedoff","2009-10-04 00:00:00",0.16988,0.1627,0.1527,NA,NA,NA,NA,"",NA,0,"FL","Other","Full-time",24,"False","False","","2007-09-17 07:24:05.460000000",640,659,"2002-06-13 00:00:00",7,5,8,4,70,1,4,0,0,1,0,0,1332,0.87,165,8,0.75,1,0.24,"$1-24,999","True",1250,"BC43340175308488522C970",NA,NA,NA,NA,NA,NA,NA,NA,1741,24,77,19898,4500,"2007-10-03 00:00:00","Q4 2007","B6A0339544547735548C273",158.81,3170.72,2192.39,978.33,-56.23,-26.8,2307.61,2307.61,0,1,0,0,0,40
"83005","1CCD35588640331891629AD",645145,"2012-09-24 14:05:03.593000000","",36,"Current","",0.28339,0.2449,0.2349,0.2291,0.1125,0.1166,3,"D",7,13,"NY","Retail Management","Employed",89,"False","False","","2012-09-24 14:05:01",680,699,"2002-06-17 00:00:00",12,12,16,7,145,2,4,0,0,7,1,0,248,0.02,4127,14,0.78,1,0.22,"$50,000-74,999","True",5416.666667,"747C3662351617117598C18",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,18,75551,13000,"2012-09-28 00:00:00","Q3 2012","D1F135596856840514024E8",513.38,12227.46,8742.03,3485.43,-142.32,0,0,0,0,1,0,0,0,76
"26836","B63F3571851169236463E44",723992,"2013-03-08 11:06:05.407000000","",36,"Current","",0.22712,0.1899,0.1799,0.1679,0.0724,0.0955,4,"C",4,1,"CA","Engineer - Electrical","Employed",42,"False","False","","2013-03-08 11:06:02",700,719,"1984-03-01 00:00:00",12,12,58,11,188,1,8,0,0,16,2,0,640,0.06,9764,52,0.78,1,0.26,"$100,000+","True",10000,"10D636784363612321CF24B",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,12,86761,10000,"2013-03-19 00:00:00","Q1 2013","5CD03571804821730394948",366.51,4031.61,2469.21,1562.4,-82.27,0,0,0,0,1,0,0,0,2
"58278","24293558434467611D0B90E",645973,"2012-09-25 18:31:12.317000000","",36,"Current","",0.33665,0.2969,0.2869,0.2738,0.1475,0.1263,2,"E",5,20,"CA","Other","Employed",46,"False","False","","2012-09-25 18:31:11",720,739,"1996-11-23 00:00:00",4,3,17,3,50,2,4,2,561,0,1,0,278,0.35,324,13,0.86,4,0.08,"$25,000-49,999","True",3166.666667,"042F3663525270087B98B2E",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,17,75592,4000,"2012-10-03 00:00:00","Q4 2012","D857355809522911130E1A9",169.13,2936.95,1559,1377.95,-46.41,0,0,0,0,1,0,0,0,64
